360ONE.NS,Financial Services
ABB.NS,Capital Goods
ACC.NS,Construction Materials
APLAPOLLO.NS,Capital Goods
AUBANK.NS,Financial Services
ADANIENSOL.NS,Power
ADANIENT.NS,Metals & Mining
ADANIGREEN.NS,Power
ADANIPORTS.NS,Services
ADANIPOWER.NS,Power
ATGL.NS,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Financial Services
ALKEM.NS,Healthcare
AMBUJACEM.NS,Construction Materials
APOLLOHOSP.NS,Healthcare
ASHOKLEY.NS,Capital Goods
ASIANPAINT.NS,Consumer Durables
ASTRAL.NS,Capital Goods
AUROPHARMA.NS,Healthcare
DMART.NS,Consumer Services
AXISBANK.NS,Financial Services
BSE.NS,Financial Services
BAJAJ-AUTO.NS,Automobile and Auto Components
BAJFINANCE.NS,Financial Services
BAJAJFINSV.NS,Financial Services
BAJAJHLDNG.NS,Financial Services
BAJAJHFL.NS,Financial Services
BANKBARODA.NS,Financial Services
BANKINDIA.NS,Financial Services
BDL.NS,Capital Goods
BEL.NS,Capital Goods
BHARATFORG.NS,Automobile and Auto Components
BHEL.NS,Capital Goods
BPCL.NS,Oil Gas & Consumable Fuels
BHARTIARTL.NS,Telecommunication
BHARTIHEXA.NS,Telecommunication
BIOCON.NS,Healthcare
BLUESTARCO.NS,Consumer Durables
BOSCHLTD.NS,Automobile and Auto Components
BRITANNIA.NS,Fast Moving Consumer Goods
CGPOWER.NS,Capital Goods
CANBK.NS,Financial Services
CHOLAFIN.NS,Financial Services
CIPLA.NS,Healthcare
COALINDIA.NS,Oil Gas & Consumable Fuels
COCHINSHIP.NS,Capital Goods
COFORGE.NS,Information Technology
COLPAL.NS,Fast Moving Consumer Goods
CONCOR.NS,Services
COROMANDEL.NS,Chemicals
CUMMINSIND.NS,Capital Goods
DLF.NS,Realty
DABUR.NS,Fast Moving Consumer Goods
DIVISLAB.NS,Healthcare
DIXON.NS,Consumer Durables
DRREDDY.NS,Healthcare
DUMMYHDLVR.NS,Fast Moving Consumer Goods
EICHERMOT.NS,Automobile and Auto Components
ETERNAL.NS,Consumer Services
EXIDEIND.NS,Automobile and Auto Components
NYKAA.NS,Consumer Services
FEDERALBNK.NS,Financial Services
FORTIS.NS,Healthcare
GAIL.NS,Oil Gas & Consumable Fuels
GMRAIRPORT.NS,Services
GLENMARK.NS,Healthcare
GODFRYPHLP.NS,Fast Moving Consumer Goods
GODREJCP.NS,Fast Moving Consumer Goods
GODREJPROP.NS,Realty
GRASIM.NS,Construction Materials
HCLTECH.NS,Information Technology
HDFCAMC.NS,Financial Services
HDFCBANK.NS,Financial Services
HDFCLIFE.NS,Financial Services
HAVELLS.NS,Consumer Durables
HEROMOTOCO.NS,Automobile and Auto Components
HINDALCO.NS,Metals & Mining
HAL.NS,Capital Goods
HINDPETRO.NS,Oil Gas & Consumable Fuels
HINDUNILVR.NS,Fast Moving Consumer Goods
HINDZINC.NS,Metals & Mining
POWERINDIA.NS,Capital Goods
HUDCO.NS,Financial Services
HYUNDAI.NS,Automobile and Auto Components
ICICIBANK.NS,Financial Services
ICICIGI.NS,Financial Services
IDFCFIRSTB.NS,Financial Services
IRB.NS,Construction
ITCHOTELS.NS,Consumer Services
ITC.NS,Fast Moving Consumer Goods
INDIANB.NS,Financial Services
INDHOTEL.NS,Consumer Services
IOC.NS,Oil Gas & Consumable Fuels
IRCTC.NS,Consumer Services
IRFC.NS,Financial Services
IREDA.NS,Financial Services
IGL.NS,Oil Gas & Consumable Fuels
INDUSTOWER.NS,Telecommunication
INDUSINDBK.NS,Financial Services
NAUKRI.NS,Consumer Services
INFY.NS,Information Technology
INDIGO.NS,Services
JSWENERGY.NS,Power
JSWSTEEL.NS,Metals & Mining
JINDALSTEL.NS,Metals & Mining
JIOFIN.NS,Financial Services
JUBLFOOD.NS,Consumer Services
KEI.NS,Capital Goods
KPITTECH.NS,Information Technology
KALYANKJIL.NS,Consumer Durables
KOTAKBANK.NS,Financial Services
LTF.NS,Financial Services
LICHSGFIN.NS,Financial Services
LTIM.NS,Information Technology
LT.NS,Construction
LICI.NS,Financial Services
LODHA.NS,Realty
LUPIN.NS,Healthcare
MRF.NS,Automobile and Auto Components
M&MFIN.NS,Financial Services
M&M.NS,Automobile and Auto Components
MANKIND.NS,Healthcare
MARICO.NS,Fast Moving Consumer Goods
MARUTI.NS,Automobile and Auto Components
MFSL.NS,Financial Services
MAXHEALTH.NS,Healthcare
MAZDOCK.NS,Capital Goods
MOTILALOFS.NS,Financial Services
MPHASIS.NS,Information Technology
MUTHOOTFIN.NS,Financial Services
NHPC.NS,Power
NMDC.NS,Metals & Mining
NTPCGREEN.NS,Power
NTPC.NS,Power
NATIONALUM.NS,Metals & Mining
NESTLEIND.NS,Fast Moving Consumer Goods
